Employee ID,Employee Name,Job Title,Department,Salary ($),Hire Date
1346,Robin Harris,Data Analyst,Tree Dept,57117.11,2024-04-25
8402,Paula Valentine,Software Engineer,Well Dept,40863.58,2019-05-30
3394,Samuel Lee,UX Designer,Pick Dept,68213.56,2024-01-30
6210,Bryan Clayton,Software Engineer,Enter Dept,55296.6,2015-05-04
6445,Natasha Torres,UX Designer,Figure Dept,115136.67,2015-05-26
1160,Laura Arnold,System Administrator,Sit Dept,96572.59,2022-03-07
8645,Cindy Gonzalez,UX Designer,Mind Dept,68769.37,2017-12-23
6248,Kelly Kemp,HR Specialist,Cause Dept,76437.64,2021-02-06
7098,Kelli Peterson,System Administrator,Professor Dept,70552.12,2018-09-14
4737,Erica Patel,UX Designer,Social Dept,66173.28,2016-02-01
8562,Kimberly Landry,UX Designer,Everybody Dept,70730.24,2018-09-21
9820,Deborah Neal,Data Analyst,Exactly Dept,40330.27,2015-05-09
5263,Seth Delgado,Project Manager,Light Dept,73468.37,2020-10-07
8253,Jay Escobar,Data Analyst,Seat Dept,88431.09,2018-01-07
7832,Robert Price,HR Specialist,Low Dept,111590.32,2017-01-29
5195,Lisa Welch,HR Specialist,Around Dept,63994.89,2018-12-29
6538,Lisa Fischer,HR Specialist,Space Dept,62576.02,2018-07-14
3671,Ruth Herrera,UX Designer,Effort Dept,97428.23,2016-10-24
8719,Dwayne Cooper,UX Designer,Fear Dept,46282.14,2018-01-03
8212,Lisa Velez,System Administrator,Study Dept,43422.62,2016-05-06
9809,Sheri Walker,Software Engineer,Thought Dept,97063.52,2017-01-07
2183,Jennifer Espinoza,Software Engineer,Unit Dept,100036.25,2018-01-12
4518,Melinda Rosales,Data Analyst,Return Dept,58094.8,2021-09-04
2857,Courtney Wilson,Data Analyst,Some Dept,84124.43,2022-09-17
6349,Stephanie Webster,System Administrator,Eye Dept,58882.4,2021-06-26
1334,Lisa Patrick,System Administrator,Pretty Dept,79486.09,2022-03-02
2896,Michael Ward,System Administrator,Line Dept,40990.54,2022-12-02
5449,Denise Luna,HR Specialist,Television Dept,109441.8,2020-06-17
4637,Mrs. Christine Reid,Software Engineer,Popular Dept,103496.8,2016-03-10
4274,Chelsea Colon,Project Manager,Statement Dept,48262.92,2016-04-01
5087,Yolanda Brown,Project Manager,Someone Dept,71554.89,2020-09-28
7700,Melissa Chan,Project Manager,Hit Dept,44447.21,2021-03-14
2271,Margaret Hood,Project Manager,Middle Dept,67275.25,2023-04-29
6893,Jose Mcdonald,Data Analyst,Inside Dept,95003.93,2017-02-20
