Invoice ID,Customer Name,Service,Invoice Date,Amount ($),Paid
da5404b0-456f-41ed-a51b-b401877cf1ef,Adam White,SEO Optimization,2024-10-17,4304.26,No
6905c64d-2dbe-43ac-997c-fde042c97605,Tyler Johnson,Cloud Hosting,2024-06-25,859.48,No
19cb81c8-4dac-4f40-bfbd-061b5986de74,Amanda Young,Data Analysis,2024-07-25,535.39,No
449661c4-7852-41f4-930d-568701d5a3b2,Megan Lee,IT Support,2024-06-27,3880.1,Yes
043990ee-4d00-4fc5-9ef3-fe951a49fc7c,Tyler Goodwin,App Development,2024-05-09,1905.24,Yes
c92de306-2ad9-4668-9f53-445b7dc7323f,Valerie Johnson,Web Design,2024-11-29,1643.3,No
0c834b25-9d16-488b-bf43-a36677df7b60,Mr. Rickey Buck MD,Cloud Hosting,2024-09-23,3523.99,No
806ee05a-5a27-464f-964a-b52af0ba7050,Mr. Michael Franklin PhD,Web Design,2024-07-02,2736.84,Yes
ffa62789-160b-45bf-b205-03e67f6f6a38,Angela Gregory,Cloud Hosting,2024-11-05,963.92,Yes
2aba86c4-c66a-42d1-8443-5ca3539880ea,Destiny Cooper,App Development,2024-12-18,4211.26,Yes
fea72a6e-0a73-45d6-8d58-4ad73c56cb62,Phillip Gordon,App Development,2024-11-28,4019.01,No
00d267d8-718b-45c6-b344-397961a62ac6,Ernest Bell,IT Support,2024-10-01,774.55,No
aeacfe6f-3813-407f-9544-e463735d8743,Diane Owen,IT Support,2025-04-20,2505.47,Yes
8e2ac953-16eb-443f-99d8-47ac848fc15b,Taylor Mckenzie,Web Design,2024-10-24,1619.82,Yes
2b840fd4-9534-47ff-a8f7-6e97ad3b3b3f,Chelsea Russell,SEO Optimization,2024-06-22,2069.73,No
8cad22c1-7f3f-4345-9a89-d962ea6f42e1,Lori Alvarado,Web Design,2024-12-04,370.87,No
6536daaa-07d0-47c7-b5c3-70863b97c79f,Kimberly Curtis,Web Design,2025-02-18,2247.79,Yes
40d070de-85ba-4167-8dae-4097a3e7ce07,Kenneth Roberts,Data Analysis,2024-07-08,4187.85,Yes
919ca508-d9b3-450c-97bf-01acb84503ee,Timothy Johnson,Web Design,2024-12-10,2060.26,Yes
d06ac54e-1c53-4ac1-9505-88759445fe2e,Jason Miller,SEO Optimization,2025-04-11,3336.31,No
e7238921-3b63-434f-9322-61a79daf96ef,Laura Butler,Cloud Hosting,2024-05-06,4130.84,No
f0784cb4-90ff-4479-b17d-3d2f65d97391,Justin Mcdonald,Web Design,2025-04-30,2352.3,Yes
a776b0dc-761c-4960-af42-dbce55b307cb,Taylor Hardy,App Development,2025-04-19,2604.01,No
533f057d-810b-43e6-9cf8-45df363e0fbb,Sara Lee,App Development,2024-06-01,408.28,No
707aa99f-24b4-4e74-8365-8e0743545388,Cynthia Hill,Cloud Hosting,2024-05-05,2383.98,No
c2c870d0-bc11-4dbb-b7db-f1a098d16e32,Lisa Gross,Web Design,2024-11-11,711.22,No
8167f9e9-f1d6-41a2-9874-b6000e7bb84e,Jamie Perkins,Data Analysis,2025-04-20,931.65,Yes
3054c380-fb13-450d-970b-0e65b2fd13c4,Laura Meyers,IT Support,2024-10-07,1580.64,No
38d6aefc-af17-4fd5-b3a4-7721c01ec887,Allison Rogers,IT Support,2024-12-24,4559.4,Yes
3f909e55-06fa-4819-9b77-b6e274d6c4bf,Kenneth Foster,App Development,2025-04-13,4385.86,Yes
e8fe275d-4dbf-4493-8e27-71ad9080a556,Michelle Morales,App Development,2025-02-17,2841.81,No
